meta-date;complaint-title;complaint-title href;readmore
11 Mar, 06:04;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202503111304031741673043926;Penanganan pohon rawan tumbang Jl. Sinar kahayan lingkar luar Senin, 13 Januari 2025Pukul : 15.00 WIB
3 Feb, 06:35;Evakuasi monyet liar;https://www.lapor.go.id/laporan/detil/evakuasi-monyet-liar-202502031335231738564523710;Evakuasi monyet liar Jl. Bukit raya No 99 Kamis, 02 Januari 2025Pukul : 08.32 WIB
3 Feb, 06:34;Evakuasi Cincin;https://www.lapor.go.id/laporan/detil/evakuasi-cincin-202502031334081738564448792;Evakuasi Cincin Jl. Diponegoro (Dinas Pemadam Kebakaran dan Penyelamatan Kota Palangka Raya) Kamis, 02 Januari 2025Pukul : 22.00 WIB
3 Feb, 06:32;Evakuasi pohon tumbang;https://www.lapor.go.id/laporan/detil/evakuasi-pohon-tumbang-202502031332311738564351439;Evakuasi pohon tumbang Jl. Mutiara V gg. Terapu No.06 Kamis, 02 Januari 2025Pukul : 18.27 WIB
3 Feb, 06:30;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202502031330261738564226441;Penanganan pohon rawan tumbang Jl. Bukit Keminting VIII (wisma putri) Kamis, 02 Januari 2025Pukul : 13.50 WIB
3 Feb, 06:28;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031328531738564133680;Evakuasi sarang tawon Jl. Antang 1 no.38 Kamis, 02 Januari 2025Pukul : 11.17 WIB
3 Feb, 06:26;Penanganan pohon;https://www.lapor.go.id/laporan/detil/penanganan-pohon-202502031326531738564013508;Penanganan pohon  Jl. Turi  Kamis, 02 Januari 2025Pukul : 08.38 WIB
3 Feb, 06:24;Penanganan pohon rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-rawan-tumbang-202502031324461738563886394;Penanganan pohon rawan tumbang Jl. Sesep Madu II (belakang kuburan muslimin pal 2 JKamis, 02 Januari 2025Pukul : 08.29 WIBu
3 Feb, 06:18;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031318541738563534601;Evakuasi sarang tawon Jl G Obos Sabtu, 04 Januari 2025Pukul : 23.02 WIB
3 Feb, 06:17;Penanganan orang terlantar;https://www.lapor.go.id/laporan/detil/penanganan-orang-terlantar-202502031317251738563445773;Penanganan orang terlantar Jl. Brigjen Katamso Kamis, 02 Januari 2025Pukul : 10.06 WIB
3 Feb, 06:15;Penanganan pohon nangka terkena kabel;https://www.lapor.go.id/laporan/detil/penanganan-pohon-nangka-terkena-kabel-202502031315521738563352052;Penanganan pohon nangka terkena kabel  Jl. Manunggal IV Mimggu, 22 Desember 2024Pukul : 09.40 WIB
3 Feb, 06:14;Penanganan pohon miring rawan tumbang;https://www.lapor.go.id/laporan/detil/penanganan-pohon-miring-rawan-tumbang-202502031314211738563261583;Penanganan pohon miring rawan tumbang Jl. Lambung Mangkurat Jumat, 03 Januari 2025Pukul : 10.48 WIB
3 Feb, 06:10;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031310351738563035754;Evakuasi sarang tawon Jl. Hiu Putih Sabtu, 04 Januari 2025Pukul : 17.18 WIB
3 Feb, 06:08;Evakuasi mobil amblas;https://www.lapor.go.id/laporan/detil/evakuasi-mobil-amblas-202502031308421738562922714;Evakuasi mobil amblas Jl. Manyar. X. KM. 8. Cilik Riwut Sabtu, 04 Januari 2025Pukul : 11.27 WIB
3 Feb, 06:06;Evakuasi sarang tawon;https://www.lapor.go.id/laporan/detil/evakuasi-sarang-tawon-202502031306531738562813462;Evakuasi sarang tawon Jl. G. Obos 20 GG. Lampang Rumah ujung dekat barak Sabtu, 04 Januari 2025Pukul : 09.12 WIB
3 Feb, 04:21;Evakuasi ular;https://www.lapor.go.id/laporan/detil/evakuasi-ular-202502031121511738556511236;Evakuasi ular  Jl. Samratulangi, No 47 Rabu, 01 Januari 2025Pukul : 05.04 WIB
